age,annual_income,country,device_type,traffic_source,campaign_type,pages_visited,session_duration,email_opens,email_clicks,previous_purchases,days_since_last_visit,discount_offered,ad_spend,converted
55,93417.0,USA,Desktop,Instagram,Product Launch,4,367.0,1,1,0,9.0,0,35.79,0
22,73061.0,Canada,Mobile,Facebook,Newsletter,5,174.0,1,0,0,12.0,10,6.6,0
38,88551.0,Australia,Desktop,Facebook,Product Launch,3,357.0,1,0,1,95.0,20,1.89,0
26,92917.0,Australia,Tablet,Instagram,Newsletter,4,131.0,4,0,0,41.0,10,19.48,0
56,61620.0,Canada,Desktop,Google,Brand Awareness,5,409.0,2,0,1,0.0,10,3.57,0
35,25199.0,USA,Desktop,Google,Newsletter,1,79.0,4,0,0,25.0,20,8.69,0
42,87800.0,USA,Desktop,Instagram,Newsletter,3,297.0,2,1,0,24.0,10,5.61,0
42,77113.0,USA,Desktop,Google,Retargeting,4,487.0,4,3,1,0.0,10,0.65,0
42,63305.0,Australia,Mobile,TikTok,Newsletter,9,625.0,3,1,0,35.0,20,27.82,1
31,45513.0,USA,Desktop,Email,Discount,1,64.0,6,1,1,8.0,20,3.43,1
47,111037.0,UK,Mobile,Email,Brand Awareness,5,430.0,2,1,4,68.0,0,18.95,1
60,76475.0,Canada,Desktop,Instagram,Retargeting,8,840.0,2,0,0,8.0,0,20.74,1
43,75759.0,Canada,Mobile,TikTok,Brand Awareness,3,252.0,1,0,1,35.0,10,22.75,0
28,52786.0,Canada,Desktop,Google,Discount,7,441.0,2,1,2,0.0,0,6.92,1
19,56340.0,Canada,Mobile,Instagram,Discount,4,124.0,5,3,0,90.0,0,15.26,0
24,77710.0,USA,Mobile,Facebook,Brand Awareness,5,203.0,2,1,1,14.0,0,23.92,0
22,44177.0,USA,Mobile,Facebook,Discount,8,293.0,0,0,1,41.0,5,5.02,0
22,99632.0,USA,Mobile,Email,Discount,7,522.0,6,1,0,32.0,0,18.11,0
24,62665.0,USA,Desktop,TikTok,Discount,1,37.0,0,0,0,42.0,0,3.05,0
49,101032.0,USA,Mobile,Instagram,Newsletter,7,70.0,4,0,1,25.0,25,10.59,1
59,75843.0,USA,Desktop,TikTok,Newsletter,4,417.0,2,1,1,16.0,0,4.19,0
62,55206.0,USA,Desktop,TikTok,Retargeting,4,482.0,3,2,0,2.0,20,5.44,1
51,117223.0,USA,Desktop,Referral,Newsletter,7,569.0,3,1,0,1.0,10,2.58,1
49,71512.0,Canada,Desktop,Google,Discount,4,353.0,1,1,0,7.0,20,6.33,1
35,61369.0,USA,Desktop,Instagram,Retargeting,8,585.0,1,1,2,0.0,15,33.7,1
66,93373.0,USA,Mobile,Facebook,Retargeting,4,276.0,2,0,2,0.0,20,4.48,0
51,81450.0,USA,Mobile,Email,Newsletter,8,515.0,5,1,1,24.0,10,16.33,1
55,73213.0,Canada,Desktop,Instagram,Discount,4,196.0,0,0,1,34.0,5,5.05,0
56,28844.0,USA,Mobile,Google,Newsletter,3,146.0,1,0,1,2.0,20,32.53,0
62,34621.0,USA,Desktop,Google,Discount,5,328.0,0,0,1,7.0,0,6.54,1
54,92705.0,USA,Mobile,Instagram,Retargeting,8,532.0,3,2,0,17.0,0,12.75,1
66,60929.0,USA,Mobile,Google,Retargeting,10,486.0,3,2,0,48.0,20,8.36,1
46,83292.0,USA,Mobile,Google,Product Launch,5,293.0,3,2,1,16.0,0,11.75,0
46,52983.0,USA,Mobile,Instagram,Newsletter,5,279.0,6,2,1,19.0,10,10.53,1
31,78316.0,UK,Mobile,TikTok,Brand Awareness,2,152.0,1,1,0,38.0,0,13.74,0
66,33131.0,Australia,Tablet,TikTok,Brand Awareness,2,147.0,2,1,1,5.0,0,1.83,0
46,67241.0,USA,Mobile,Google,Retargeting,7,426.0,3,1,0,0.0,25,15.57,1
43,104190.0,USA,Mobile,Facebook,Brand Awareness,5,236.0,1,1,0,17.0,20,1.57,0
34,77180.0,USA,Mobile,Google,Newsletter,9,330.0,3,0,2,18.0,25,2.86,1
32,64017.0,USA,Mobile,Facebook,Brand Awareness,9,453.0,0,0,0,16.0,0,25.91,0
50,69860.0,USA,Mobile,Facebook,Brand Awareness,7,491.0,3,2,2,23.0,0,9.94,1
41,72137.0,Canada,Mobile,Google,Brand Awareness,5,278.0,2,0,0,4.0,15,15.58,0
47,113765.0,USA,Mobile,Instagram,Brand Awareness,5,208.0,2,0,1,0.0,0,8.11,0
52,75888.0,USA,Mobile,Instagram,Newsletter,3,186.0,4,2,1,41.0,10,4.04,0
64,82085.0,Australia,Mobile,TikTok,Discount,5,212.0,1,1,0,7.0,0,11.32,0
35,61463.0,USA,Mobile,Google,Retargeting,7,397.0,2,1,3,20.0,15,6.6,0
53,84559.0,USA,Tablet,TikTok,Brand Awareness,5,253.0,2,2,0,8.0,0,12.07,1
64,82353.0,USA,Desktop,Google,Product Launch,7,490.0,3,1,0,8.0,10,21.92,1
41,56473.0,UK,Mobile,Email,Product Launch,9,540.0,4,0,1,151.0,15,21.89,0
31,35241.0,Canada,Mobile,Referral,Newsletter,7,477.0,4,1,1,0.0,25,11.1,1
33,66883.0,USA,Mobile,TikTok,Product Launch,6,397.0,2,0,2,0.0,5,17.02,1
35,97856.0,UK,Desktop,TikTok,Retargeting,5,284.0,2,0,0,52.0,25,21.67,1
50,58982.0,Australia,Desktop,Referral,Brand Awareness,16,1098.0,3,1,0,13.0,10,15.48,1
31,63828.0,USA,Mobile,Instagram,Newsletter,6,337.0,2,0,0,18.0,20,18.79,0
61,97680.0,Canada,Mobile,Google,Discount,5,255.0,1,0,0,8.0,0,8.13,0
36,69256.0,USA,Mobile,Instagram,Discount,9,603.0,0,0,0,2.0,0,6.32,0
21,29736.0,UK,Mobile,Google,Brand Awareness,3,175.0,1,0,0,6.0,0,10.18,0
18,108311.0,USA,Mobile,Google,Newsletter,3,216.0,4,1,0,11.0,0,9.38,0
19,73655.0,Australia,Mobile,Facebook,Discount,2,37.0,0,0,1,0.0,0,11.22,0
50,60328.0,Canada,Mobile,Instagram,Product Launch,3,85.0,0,0,0,58.0,10,6.07,0
36,66245.0,USA,Desktop,Email,Retargeting,11,788.0,6,4,1,0.0,10,11.06,1
32,83250.0,Canada,Mobile,Instagram,Discount,4,162.0,2,0,0,83.0,10,2.62,0
49,60618.0,UK,Mobile,Email,Newsletter,4,149.0,6,4,1,0.0,15,6.62,1
21,111237.0,USA,Mobile,Google,Retargeting,5,313.0,1,0,1,13.0,10,11.87,1
46,81882.0,USA,Mobile,Google,Brand Awareness,5,351.0,2,1,0,25.0,20,5.09,0
50,85886.0,UK,Tablet,Email,Newsletter,7,406.0,4,0,1,33.0,0,15.53,0
19,78642.0,USA,Desktop,Email,Product Launch,6,508.0,4,1,1,0.0,5,21.88,1
27,59797.0,USA,Mobile,Email,Retargeting,5,282.0,4,3,0,12.0,15,17.27,0
38,76283.0,USA,Tablet,Instagram,Retargeting,11,743.0,3,0,1,0.0,10,14.36,0
33,111124.0,UK,Mobile,Facebook,Brand Awareness,5,243.0,3,0,4,43.0,5,11.83,0
67,61531.0,UK,Desktop,Email,Brand Awareness,3,324.0,6,0,0,54.0,0,18.56,0
40,69018.0,USA,Mobile,Email,Product Launch,5,321.0,3,0,0,2.0,0,6.03,0
51,80101.0,USA,Mobile,TikTok,Discount,12,634.0,2,1,0,38.0,5,14.92,1
25,55508.0,Canada,Mobile,Google,Product Launch,4,251.0,2,1,1,0.0,20,16.34,0
59,91294.0,UK,Mobile,Google,Discount,3,10.0,3,1,0,11.0,15,33.09,1
29,45086.0,Australia,Mobile,Facebook,Discount,8,590.0,0,0,1,0.0,0,13.36,0
57,80927.0,USA,Mobile,Email,Newsletter,5,334.0,2,1,0,15.0,20,11.33,1
42,50070.0,USA,Mobile,Email,Brand Awareness,11,577.0,0,0,0,20.0,0,14.11,1
39,65233.0,USA,Desktop,TikTok,Retargeting,7,244.0,1,0,1,13.0,15,12.53,0
42,65299.0,Canada,Mobile,Instagram,Brand Awareness,4,227.0,4,0,0,64.0,15,24.33,0
45,130194.0,Canada,Desktop,Instagram,Retargeting,9,608.0,6,2,0,26.0,10,43.76,1
31,59546.0,USA,Desktop,Google,Newsletter,5,435.0,6,3,1,23.0,15,21.8,1
24,94422.0,Canada,Desktop,Instagram,Product Launch,5,473.0,3,1,0,27.0,20,4.54,0
33,81182.0,USA,Mobile,TikTok,Retargeting,12,1159.0,1,0,0,6.0,0,5.45,1
69,55941.0,USA,Tablet,Instagram,Retargeting,5,412.0,4,1,1,4.0,5,13.79,0
32,92124.0,USA,Mobile,Instagram,Discount,5,210.0,2,1,1,6.0,0,21.57,0
52,71306.0,USA,Mobile,Google,Retargeting,5,177.0,2,1,0,7.0,20,7.45,0
31,36664.0,Australia,Mobile,Google,Discount,4,396.0,0,0,0,45.0,0,17.21,0
61,33704.0,UK,Mobile,Email,Brand Awareness,5,207.0,3,0,0,0.0,15,11.32,0
43,75290.0,USA,Tablet,Instagram,Product Launch,6,267.0,2,0,0,5.0,10,8.47,0
47,75741.0,USA,Mobile,Instagram,Product Launch,5,257.0,3,0,2,7.0,10,2.42,1
29,37147.0,USA,Desktop,TikTok,Newsletter,3,323.0,1,1,1,0.0,10,27.46,1
49,73361.0,USA,Tablet,Google,Brand Awareness,2,200.0,1,0,0,28.0,0,16.57,0
43,64772.0,USA,Desktop,Email,Brand Awareness,3,197.0,6,1,2,17.0,5,4.28,1
55,82261.0,Canada,Tablet,Referral,Newsletter,4,206.0,1,0,1,11.0,25,1.8,1
30,56032.0,USA,Mobile,Instagram,Discount,5,236.0,1,1,0,69.0,15,9.58,0
49,73020.0,USA,Tablet,Instagram,Product Launch,1,27.0,0,0,0,25.0,10,8.27,0
61,68604.0,USA,Desktop,Facebook,Newsletter,1,14.0,3,0,0,5.0,0,3.77,0
42,83803.0,USA,Desktop,Facebook,Product Launch,2,242.0,1,0,0,4.0,0,34.57,1
27,94390.0,USA,Desktop,Email,Product Launch,5,127.0,4,3,1,19.0,0,14.89,0
21,116026.0,USA,Desktop,Referral,Discount,7,474.0,3,1,2,8.0,20,16.92,0
62,38334.0,USA,Mobile,Google,Discount,9,789.0,1,0,0,20.0,0,3.45,0
44,76786.0,USA,Mobile,TikTok,Product Launch,5,10.0,0,0,3,0.0,0,11.16,0
27,51146.0,USA,Mobile,Email,Newsletter,5,248.0,4,1,2,14.0,10,6.68,0
33,45811.0,USA,Tablet,Referral,Discount,5,276.0,4,1,0,67.0,0,11.5,1
57,31924.0,USA,Desktop,TikTok,Retargeting,12,910.0,1,0,1,0.0,0,5.95,0
37,57865.0,USA,Mobile,TikTok,Discount,6,190.0,0,0,0,11.0,0,23.11,0
49,70924.0,Canada,Desktop,TikTok,Newsletter,3,10.0,2,0,1,0.0,25,2.04,0
60,64309.0,USA,Tablet,Instagram,Discount,6,185.0,3,2,1,0.0,20,7.12,1
28,74553.0,USA,Mobile,Facebook,Brand Awareness,2,10.0,1,0,1,0.0,0,8.87,0
62,73750.0,USA,Mobile,Instagram,Retargeting,10,488.0,3,0,0,3.0,0,13.44,0
57,79508.0,Canada,Mobile,TikTok,Discount,5,342.0,2,1,1,42.0,10,9.66,1
35,70457.0,UK,Mobile,TikTok,Retargeting,11,788.0,2,0,0,38.0,15,5.64,0
30,76077.0,USA,Desktop,Facebook,Retargeting,8,591.0,2,0,0,1.0,25,25.68,0
35,73022.0,USA,Mobile,Instagram,Discount,1,10.0,2,0,1,0.0,20,11.86,0
22,58841.0,USA,Mobile,Facebook,Discount,5,271.0,1,0,2,16.0,10,4.04,1
40,39807.0,USA,Desktop,Referral,Discount,15,1079.0,0,0,0,90.0,0,5.83,0
50,36520.0,Canada,Mobile,Instagram,Product Launch,4,461.0,1,0,1,26.0,25,3.74,0
58,77890.0,USA,Mobile,Google,Newsletter,3,231.0,4,1,2,39.0,10,14.54,0
45,46450.0,USA,Tablet,Instagram,Brand Awareness,3,238.0,2,1,1,0.0,10,7.54,0
23,83893.0,USA,Desktop,Google,Product Launch,11,592.0,1,0,1,-0.0,5,15.95,1
50,57233.0,Australia,Mobile,TikTok,Brand Awareness,7,515.0,2,1,1,18.0,20,28.07,0
23,50680.0,USA,Mobile,Google,Discount,8,351.0,1,1,1,14.0,5,26.12,1
27,61987.0,UK,Mobile,Facebook,Newsletter,9,518.0,4,1,0,25.0,25,14.53,1
68,70515.0,USA,Mobile,Google,Newsletter,1,377.0,3,1,1,49.0,5,3.74,0
30,104782.0,Canada,Mobile,Google,Discount,6,339.0,4,1,1,31.0,5,8.9,0
47,58091.0,UK,Mobile,Google,Retargeting,12,491.0,2,1,0,62.0,5,18.48,1
53,56042.0,Canada,Mobile,Email,Brand Awareness,8,335.0,2,0,0,1.0,0,28.55,0
60,75279.0,Canada,Desktop,Google,Brand Awareness,5,403.0,2,0,0,27.0,15,7.95,0
22,88771.0,USA,Mobile,Email,Retargeting,6,357.0,4,2,1,15.0,0,17.69,1
61,65141.0,USA,Mobile,Google,Product Launch,6,485.0,5,3,0,1.0,0,14.21,1
63,56163.0,Canada,Mobile,Referral,Discount,6,347.0,1,0,2,0.0,20,23.36,1
54,79155.0,USA,Mobile,Facebook,Newsletter,2,180.0,5,3,0,23.0,15,6.56,0
40,74605.0,UK,Desktop,Instagram,Brand Awareness,7,663.0,3,0,1,0.0,5,16.45,1
31,77841.0,Australia,Mobile,Facebook,Retargeting,15,618.0,4,2,1,-0.0,0,5.42,1
50,38848.0,USA,Mobile,Instagram,Brand Awareness,3,10.0,1,0,0,1.0,0,13.41,0
52,82479.0,UK,Tablet,Instagram,Discount,5,416.0,0,0,0,83.0,0,2.55,0
34,70382.0,Canada,Mobile,Google,Newsletter,4,321.0,5,2,1,5.0,20,6.61,0
53,92082.0,Canada,Mobile,Email,Brand Awareness,6,293.0,1,0,1,15.0,15,1.66,1
27,63756.0,Canada,Desktop,Referral,Discount,7,364.0,2,0,0,23.0,0,17.13,0
31,78104.0,USA,Desktop,Email,Retargeting,11,1067.0,2,1,0,24.0,15,21.84,1
18,63635.0,USA,Desktop,TikTok,Retargeting,7,427.0,2,1,0,49.0,10,4.16,0
33,115127.0,USA,Tablet,Google,Brand Awareness,6,386.0,2,1,2,30.0,25,15.62,0
28,37017.0,USA,Mobile,Google,Newsletter,5,264.0,2,0,0,56.0,15,15.24,0
60,47883.0,USA,Mobile,Google,Product Launch,1,126.0,1,0,0,134.0,25,8.61,0
63,51524.0,USA,Mobile,Facebook,Discount,4,84.0,1,0,1,0.0,0,5.45,0
63,25000.0,USA,Desktop,Instagram,Discount,2,130.0,0,0,0,78.0,10,25.69,0
68,57008.0,USA,Desktop,Facebook,Discount,5,273.0,3,2,1,73.0,20,7.73,0
50,103725.0,Australia,Tablet,Instagram,Product Launch,7,323.0,1,0,1,0.0,20,12.57,0
40,84662.0,UK,Tablet,Google,Newsletter,1,192.0,2,1,1,10.0,10,3.82,0
48,91916.0,USA,Desktop,Instagram,Newsletter,1,77.0,3,2,0,4.0,20,4.05,0
37,66033.0,Canada,Mobile,Instagram,Brand Awareness,3,10.0,1,1,1,21.0,5,13.14,0
42,55080.0,USA,Desktop,Instagram,Product Launch,2,396.0,0,0,0,68.0,0,15.74,1
32,65412.0,Canada,Mobile,Google,Discount,3,199.0,2,2,1,0.0,20,45.55,1
54,40872.0,USA,Desktop,Email,Newsletter,6,627.0,9,3,0,3.0,15,17.66,1
68,31516.0,Canada,Mobile,Instagram,Discount,7,201.0,2,1,0,2.0,15,8.44,0
26,92824.0,Canada,Mobile,Referral,Newsletter,8,484.0,3,2,0,52.0,5,32.16,0
21,68530.0,USA,Mobile,Google,Discount,4,58.0,2,1,1,114.0,15,2.83,0
37,98851.0,UK,Mobile,TikTok,Product Launch,1,70.0,0,0,1,16.0,10,24.81,0
39,39137.0,USA,Mobile,Instagram,Product Launch,4,136.0,1,0,0,19.0,15,11.75,0
39,71082.0,USA,Desktop,Google,Brand Awareness,5,322.0,4,1,0,43.0,25,10.34,1
26,36644.0,UK,Mobile,Instagram,Discount,6,10.0,2,0,0,110.0,5,17.18,0
26,103025.0,USA,Desktop,Email,Retargeting,10,731.0,5,5,0,5.0,20,10.42,1
30,71241.0,USA,Mobile,Google,Product Launch,5,10.0,0,0,0,35.0,20,5.57,0
48,46959.0,Canada,Mobile,Email,Newsletter,3,60.0,5,3,0,1.0,15,14.14,1
58,47559.0,USA,Mobile,Referral,Product Launch,9,539.0,2,0,0,16.0,0,3.84,1
42,96629.0,Canada,Desktop,Google,Newsletter,6,236.0,5,1,2,0.0,10,12.6,1
28,45887.0,USA,Mobile,TikTok,Newsletter,5,164.0,3,0,0,9.0,10,21.26,0
40,64178.0,USA,Tablet,Email,Product Launch,10,640.0,6,1,0,6.0,5,8.59,1
46,69118.0,USA,Tablet,Instagram,Newsletter,4,379.0,0,0,1,24.0,25,14.97,0
66,47211.0,USA,Desktop,Instagram,Newsletter,5,363.0,5,2,2,0.0,15,12.76,1
37,101656.0,USA,Desktop,Facebook,Brand Awareness,6,317.0,0,0,0,32.0,0,19.2,0
30,108854.0,USA,Desktop,Instagram,Brand Awareness,1,68.0,0,0,0,4.0,20,2.33,0
44,57481.0,Canada,Mobile,Google,Brand Awareness,6,223.0,1,0,0,44.0,10,6.3,0
21,73423.0,USA,Mobile,TikTok,Discount,7,207.0,3,1,1,0.0,15,17.61,0
35,85107.0,USA,Mobile,Facebook,Product Launch,4,227.0,0,0,1,6.0,10,7.07,0
26,82925.0,UK,Mobile,TikTok,Newsletter,3,156.0,4,1,1,26.0,25,8.1,0
32,85248.0,UK,Mobile,Facebook,Brand Awareness,2,100.0,0,0,0,1.0,0,14.33,0
24,44910.0,USA,Mobile,Facebook,Newsletter,8,725.0,6,4,0,0.0,15,14.71,1
32,70487.0,Australia,Mobile,TikTok,Retargeting,10,413.0,1,1,0,19.0,20,19.38,1
36,39410.0,UK,Mobile,Google,Product Launch,4,115.0,0,0,0,4.0,5,13.69,0
22,67359.0,USA,Desktop,TikTok,Discount,3,128.0,0,0,0,41.0,0,6.07,0
35,80785.0,USA,Desktop,Referral,Discount,10,480.0,2,1,0,40.0,15,14.85,0
43,87964.0,USA,Mobile,Google,Newsletter,6,297.0,2,1,2,17.0,10,14.67,1
22,25000.0,USA,Mobile,Instagram,Newsletter,11,271.0,4,3,1,42.0,5,22.5,0
63,75391.0,Canada,Desktop,Email,Newsletter,7,330.0,2,2,0,6.0,10,21.29,1
63,39689.0,USA,Mobile,Google,Product Launch,3,123.0,2,1,0,48.0,20,29.94,1
67,80510.0,USA,Mobile,Facebook,Newsletter,8,560.0,2,0,0,20.0,0,9.39,1
24,78847.0,UK,Mobile,Google,Discount,3,53.0,2,1,0,148.0,20,11.7,0
19,74342.0,Canada,Mobile,Facebook,Retargeting,6,357.0,4,2,1,1.0,15,4.82,0
68,91125.0,USA,Desktop,Google,Discount,4,323.0,1,0,0,82.0,5,13.13,0
65,76209.0,UK,Desktop,Instagram,Brand Awareness,6,141.0,4,1,0,76.0,20,14.75,0
59,53649.0,USA,Desktop,Referral,Retargeting,16,765.0,3,2,1,0.0,5,9.87,1
24,63154.0,USA,Mobile,Referral,Retargeting,12,1280.0,7,4,2,0.0,0,11.69,1
52,78079.0,USA,Mobile,Google,Discount,5,244.0,0,0,0,10.0,5,9.58,1
56,34952.0,USA,Desktop,Instagram,Newsletter,3,129.0,2,1,3,0.0,0,7.14,0
33,65262.0,USA,Mobile,Email,Newsletter,6,315.0,6,1,1,21.0,5,3.24,1
64,78351.0,Australia,Mobile,Google,Retargeting,6,241.0,3,2,1,0.0,10,13.35,1
57,47638.0,USA,Tablet,Google,Discount,6,464.0,2,1,2,45.0,10,30.77,1
26,96761.0,USA,Desktop,TikTok,Discount,1,10.0,3,2,0,0.0,5,8.73,0
48,94298.0,UK,Desktop,Facebook,Newsletter,8,555.0,0,0,1,0.0,20,8.14,0
35,81971.0,USA,Mobile,Facebook,Discount,2,212.0,4,1,0,14.0,0,7.67,0
58,68419.0,USA,Mobile,Facebook,Brand Awareness,4,226.0,0,0,0,3.0,25,7.81,0
37,63157.0,USA,Tablet,Google,Newsletter,4,174.0,3,1,1,7.0,15,4.17,1
62,83280.0,Canada,Mobile,Facebook,Newsletter,10,716.0,2,0,0,3.0,0,44.46,1
36,80613.0,USA,Desktop,Instagram,Product Launch,6,425.0,1,1,2,10.0,20,15.76,0
52,91155.0,USA,Mobile,TikTok,Newsletter,8,400.0,2,0,2,15.0,10,10.75,0
44,55596.0,USA,Mobile,Email,Brand Awareness,7,168.0,5,0,1,15.0,10,35.65,1
39,83713.0,Canada,Mobile,Google,Discount,5,118.0,1,0,1,4.0,20,6.51,1
18,94475.0,Canada,Mobile,Facebook,Newsletter,6,286.0,5,2,2,25.0,5,23.75,1
69,49971.0,UK,Mobile,Google,Discount,5,118.0,2,1,2,0.0,10,11.27,0
39,73370.0,Canada,Mobile,Email,Product Launch,5,361.0,1,1,0,31.0,15,14.55,0
35,71173.0,UK,Desktop,Instagram,Discount,2,213.0,0,0,0,38.0,15,24.67,0
63,66301.0,Canada,Mobile,Facebook,Product Launch,7,295.0,0,0,1,25.0,10,21.19,0
18,91021.0,USA,Mobile,Instagram,Retargeting,5,137.0,4,2,0,5.0,5,6.6,0
22,66697.0,USA,Desktop,Email,Retargeting,8,692.0,2,1,0,17.0,0,1.93,1
42,85716.0,Canada,Mobile,Facebook,Discount,6,454.0,2,0,0,26.0,0,11.25,0
43,79293.0,USA,Mobile,Instagram,Discount,5,10.0,4,0,1,10.0,0,14.27,0
62,86584.0,USA,Tablet,Email,Newsletter,5,297.0,5,1,1,74.0,0,16.88,0
43,65200.0,USA,Desktop,Email,Retargeting,14,1268.0,5,1,0,45.0,0,7.08,1
54,56388.0,USA,Mobile,Email,Retargeting,6,190.0,4,2,0,0.0,10,11.56,0
58,84190.0,Australia,Mobile,Instagram,Newsletter,4,187.0,2,0,0,15.0,0,8.5,0
31,71353.0,USA,Mobile,Google,Retargeting,4,372.0,2,1,1,0.0,20,13.29,1
68,87956.0,USA,Mobile,TikTok,Product Launch,1,116.0,3,1,0,59.0,5,8.9,0
67,59968.0,Canada,Mobile,Google,Discount,7,256.0,0,0,0,2.0,5,11.54,1
54,58478.0,USA,Desktop,Facebook,Newsletter,4,145.0,4,4,0,0.0,0,14.45,1
20,85288.0,Canada,Mobile,Instagram,Discount,3,60.0,3,1,1,0.0,15,8.76,0
32,73489.0,USA,Mobile,Google,Retargeting,6,547.0,2,0,0,26.0,0,31.58,0
24,67636.0,Canada,Mobile,Google,Discount,2,137.0,1,0,0,24.0,15,9.46,1
52,84757.0,USA,Mobile,Facebook,Retargeting,8,453.0,1,0,1,9.0,10,22.06,1
19,66680.0,USA,Desktop,Facebook,Product Launch,5,229.0,0,0,1,-0.0,20,4.18,0
36,74380.0,USA,Mobile,Referral,Retargeting,7,510.0,2,0,2,8.0,25,14.05,1
18,81590.0,Australia,Desktop,Google,Retargeting,3,198.0,5,0,0,6.0,0,9.63,1
57,47539.0,USA,Desktop,Instagram,Newsletter,7,337.0,1,0,1,57.0,0,4.81,0
37,91202.0,USA,Mobile,Email,Newsletter,6,371.0,0,0,0,5.0,5,0.93,0
53,70661.0,USA,Mobile,Instagram,Discount,10,600.0,2,0,1,120.0,0,11.04,0
26,64999.0,USA,Mobile,Instagram,Retargeting,11,505.0,3,2,0,4.0,0,37.4,0
68,69603.0,USA,Mobile,Email,Product Launch,7,317.0,3,0,0,1.0,15,12.34,0
40,57533.0,Canada,Mobile,Google,Brand Awareness,8,515.0,0,0,0,52.0,10,22.61,0
63,32378.0,USA,Mobile,Google,Discount,9,358.0,1,0,0,17.0,5,54.84,0
69,72126.0,USA,Desktop,Instagram,Product Launch,8,571.0,1,1,2,16.0,10,6.27,1
